,id,proto,srcip,dstip,srcport,dstport,payload_size,shannon,bien,tbien
949,0QsS5XsBbrWx0LVuHIkp,tcp,127.0.0.1,127.0.0.1,1117,8088,112,3.653191893695343,0.4529739033616536,0.9939174035218412
510,hQsS5XsBbrWx0LVuJYxX,tcp,127.0.0.1,127.0.0.1,1152,8088,112,3.715746352839981,0.457537846723749,0.9933748853525896
729,1wsS5XsBbrWx0LVuJIsm,tcp,127.0.0.1,127.0.0.1,1145,8088,112,3.630350156078747,0.920778835560092,0.9945706160422744
698,iQsS5XsBbrWx0LVuIour,tcp,127.0.0.1,127.0.0.1,1143,8088,112,3.682590138880488,0.9264217940591007,0.9941794599725312
1580,jAsS5XsBbrWx0LVuNJDD,tcp,127.0.0.1,127.0.0.1,1209,8088,112,3.772556485796146,0.9438922897924186,0.9947005801735244
1608,tAsS5XsBbrWx0LVuNZAG,tcp,127.0.0.1,127.0.0.1,1211,8088,112,3.773807812323181,0.4575425260335833,0.9940069441800844
1385,fwsS5XsBbrWx0LVuLI46,tcp,127.0.0.1,127.0.0.1,1166,8088,112,3.695536068744956,0.9534647553733068,0.9953931064250722
1584,xgsS5XsBbrWx0LVuNZAG,tcp,127.0.0.1,127.0.0.1,1212,8088,112,3.691597424392024,0.2449731448158684,0.9926601027697356
1589,2AsS5XsBbrWx0LVuNZAG,tcp,127.0.0.1,127.0.0.1,1213,8088,112,3.609390353820566,0.9508447345891204,0.9954974479484168
1381,HQsS5XsBbrWx0LVuKo42,tcp,127.0.0.1,127.0.0.1,1161,8088,112,3.704595113782327,0.9522404329518048,0.995335763355923
686,TQsS5XsBbrWx0LVuIot-,tcp,127.0.0.1,127.0.0.1,1139,8088,112,3.727586400540377,0.4770425292982089,0.9945832718550404
687,ZQsS5XsBbrWx0LVuIour,tcp,127.0.0.1,127.0.0.1,1140,8088,112,3.694095839000282,0.926578358264342,0.9948787476628524
1594,6gsS5XsBbrWx0LVuNZAG,tcp,127.0.0.1,127.0.0.1,1214,8088,112,3.754470208533356,0.0299887621697538,0.988891107658348
1260,nwsS5XsBbrWx0LVuH4o7,tcp,127.0.0.1,127.0.0.1,1136,8088,112,3.6781949379839833,0.2352043241485481,0.9925074721636116
986,UwsS5XsBbrWx0LVuHYpk,tcp,127.0.0.1,127.0.0.1,1125,8088,112,3.714373778986415,0.9444248935734304,0.9953275254180082
690,cQsS5XsBbrWx0LVuIour,tcp,127.0.0.1,127.0.0.1,1141,8088,112,3.754797599628176,0.9507204230769026,0.9956092506708224
981,jQsS5XsBbrWx0LVuHYpm,tcp,127.0.0.1,127.0.0.1,1134,8088,112,3.612496792791232,0.9334095300663724,0.9944548017612416
979,QQsS5XsBbrWx0LVuHYpk,tcp,127.0.0.1,127.0.0.1,1121,8088,112,3.723983054754585,0.9207347032395264,0.994249738022614
