,id,proto,srcip,dstip,srcport,dstport,payload_size,shannon,bien,tbien,flow
64,PZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5970180510828019,0.9297425241053722,0.9816781789915808,127.0.0.1:1151 -> 127.0.0.1:8088
66,QZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6012770928104053,0.4729104599589676,0.983772691241338,127.0.0.1:1151 -> 127.0.0.1:8088
68,RZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6031339769827936,0.9254703801579108,0.9808137429569396,127.0.0.1:1151 -> 127.0.0.1:8088
70,SZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6076947840778796,0.9415658744384148,0.98739172000214,127.0.0.1:1151 -> 127.0.0.1:8088
72,TZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6074839924183114,0.4597431537953501,0.978279624750254,127.0.0.1:1151 -> 127.0.0.1:8088
74,UZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6125340823849726,0.9515193147677448,0.9896724923762172,127.0.0.1:1151 -> 127.0.0.1:8088
76,VZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5978053958041256,0.4754638038771803,0.9836749323266613,127.0.0.1:1151 -> 127.0.0.1:8088
78,WZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6211611345380088,0.4615452383709561,0.9825921716258078,127.0.0.1:1151 -> 127.0.0.1:8088
80,XZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5805275874488963,0.4599376629625041,0.9834195078335336,127.0.0.1:1151 -> 127.0.0.1:8088
82,YZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6155653412948394,0.9504533376861488,0.9837727733258944,127.0.0.1:1151 -> 127.0.0.1:8088
84,ZZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6010170264819942,0.9532361158472916,0.9862758847572932,127.0.0.1:1151 -> 127.0.0.1:8088
86,aZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5837279389792596,0.9423054280685956,0.9874310420918008,127.0.0.1:1151 -> 127.0.0.1:8088
88,bZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5879874106005442,0.2353565435212108,0.9794151155008052,127.0.0.1:1151 -> 127.0.0.1:8088
90,cZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5949920742899173,0.9506558397396764,0.9829942917644936,127.0.0.1:1151 -> 127.0.0.1:8088
92,dZi1GHwBASTB4nx9_gTt,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6194970470352742,0.2450887585245378,0.9821176870270862,127.0.0.1:1151 -> 127.0.0.1:8088
96,lpi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5796872645409956,0.2366407319344552,0.9795483294679876,127.0.0.1:1151 -> 127.0.0.1:8088
98,mpi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5939939379090254,0.0299825713280393,0.9632590693687656,127.0.0.1:1151 -> 127.0.0.1:8088
101,npi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6050397059303436,0.9506957929396768,0.9893570801024046,127.0.0.1:1151 -> 127.0.0.1:8088
102,05i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5616435486727135,0.0596195842845744,0.9666405956524912,127.0.0.1:1151 -> 127.0.0.1:8088
104,qpi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6017299558084701,0.9257893813799654,0.9842368349949544,127.0.0.1:1151 -> 127.0.0.1:8088
106,rpi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6230597177494686,0.4617075756495822,0.9835979774028814,127.0.0.1:1151 -> 127.0.0.1:8088
107,15i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6135506436494602,0.950071952804314,0.9872230411592584,127.0.0.1:1151 -> 127.0.0.1:8088
109,25i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6085602477117852,0.9156500501810696,0.978108287612036,127.0.0.1:1151 -> 127.0.0.1:8088
111,35i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5754282228133922,0.920493988653768,0.9818678261475552,127.0.0.1:1151 -> 127.0.0.1:8088
114,tpi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5955723308694068,0.4539796754689338,0.9788803931691769,127.0.0.1:1151 -> 127.0.0.1:8088
116,upi1GHwBASTB4nx99gLS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6114753921877325,0.9334094976661405,0.9864408942407876,127.0.0.1:1151 -> 127.0.0.1:8088
118,65i1GHwBASTB4nx99wIS,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5893910018811864,0.4611735810937016,0.9811223942117532,127.0.0.1:1151 -> 127.0.0.1:8088
