,srcport,dstport,payload_size,shannon,bien,tbien
count,2283.0,2283.0,2283.0,2283.0,2283.0,2283.0
mean,31040.0,8088.0,32.0,0.45660110707342844,0.5904581530622823,0.8811147661028342
std,0.0,0.0,0.0,0.10345706484070852,0.35840891627036753,0.2480700782271936
min,31040.0,8088.0,32.0,0.1666666666666666,2.5261771455551404e-76,0.0039253081353953
25%,31040.0,8088.0,32.0,0.47008575816239445,0.2428918161699939,0.9590743095461604
50%,31040.0,8088.0,32.0,0.4960942947729322,0.4754281180704099,0.9716182943748513
75%,31040.0,8088.0,32.0,0.5145393321295498,0.9480536427993376,0.9774630935489173
max,31040.0,8088.0,32.0,0.5713108661393943,0.953479825584889,0.9888403060878996
