,srcport,dstport,payload_size,shannon,bien,tbien
count,25.0,25.0,25.0,25.0,25.0,25.0
mean,8080.0,11511.64,1201.0,0.3458371936909695,0.6164150241610049,0.8641048913342252
std,0.0,1.8,2560.5350026898677,0.036786964081468754,0.021598794398403478,0.020910770328331076
min,8080.0,11510.0,410.0,0.2256560002047395,0.5316545585737139,0.7656511162951255
25%,8080.0,11510.0,410.0,0.3585478705602972,0.6173040993848231,0.8685859754233111
50%,8080.0,11511.0,410.0,0.3587542098543714,0.6246823941532542,0.8688050218212289
75%,8080.0,11513.0,411.0,0.358962176541117,0.6247639318862923,0.8688667841237327
max,8080.0,11515.0,10897.0,0.358962176541117,0.6247682412975607,0.8716843021575285
