,srcport,dstport,payload_size,shannon,bien,tbien
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,9795.82,9795.82,871.1,0.34284856494325766,0.6418225847092607,0.9329336347664859
std,1733.240396788981,1733.240396788981,1822.760703337839,0.025949929777002438,0.05319086040950439,0.012367259257905334
min,8080.0,8080.0,410.0,0.2256520164981021,0.5294850818780199,0.8538749216922576
25%,8080.0,8080.0,410.0,0.3403443915771463,0.6001081353176796,0.9304543374004393
50%,9795.0,9795.0,528.5,0.3417852564301647,0.6663931499783755,0.9326508277728467
75%,11511.0,11511.0,542.5,0.3587318229759375,0.6843255354971839,0.939397251417176
max,11515.0,11515.0,10897.0,0.3589409615350228,0.734052132203367,0.94033661843109
