,srcport,dstport,payload_size,shannon,bien,tbien
count,157.0,157.0,157.0,157.0,157.0,157.0
mean,61132.0,20001.0,1026.8598726114649,0.7418618438156956,0.609777611181432,0.9434310791575043
std,0.0,0.0,64.40561157653713,0.03718440288773249,0.33251087296505494,0.02493706809481501
min,61132.0,20001.0,225.0,0.6326597655573916,0.0075536882363336,0.8419064500175167
25%,61132.0,20001.0,1032.0,0.7146146483360873,0.2450874549967849,0.9324488938055716
50%,61132.0,20001.0,1032.0,0.7382048827786958,0.47299625237188,0.9461679403937352
75%,61132.0,20001.0,1032.0,0.7694548827786958,0.9424471378515844,0.9615264409424554
max,61132.0,20001.0,1032.0,0.8319548827786958,0.9534349701895364,0.9751573091695194
