,srcport,dstport,payload_size,shannon,bien,tbien
count,157.0,157.0,157.0,157.0,157.0,157.0
mean,59973.0,20001.0,1026.8598726114649,0.3409895356078522,0.6240100608067853,0.8921855662918359
std,0.0,0.0,64.40561157653713,0.006937905054680069,0.01851762524061573,0.003804287099702688
min,59973.0,20001.0,225.0,0.3371728705868034,0.574230753680473,0.8779685364435982
25%,59973.0,20001.0,1032.0,0.3396894109844364,0.6105820491633421,0.8893912055956427
50%,59973.0,20001.0,1032.0,0.3404668978858552,0.6255584716087524,0.8924500793298364
75%,59973.0,20001.0,1032.0,0.3413158022163255,0.6377253319838487,0.8950055598786943
max,59973.0,20001.0,1032.0,0.4261069456535426,0.6634717290756792,0.9010461591294804
