,srcport,dstport,payload_size,shannon,bien,tbien
count,717.0,717.0,717.0,717.0,717.0,717.0
mean,57926.092050209205,53.0,47.08926080892608,0.4293707964596123,0.5509560033323627,0.7453710657322272
std,4741.285906521653,0.0,8.96721895537382,0.023283725718624273,0.097507329744652,0.03566470828078016
min,49169.0,53.0,32.0,0.3381507811879212,0.2385994848401414,0.6139754547006596
25%,54000.0,53.0,41.0,0.4125943085529603,0.4964557242655849,0.7217069678632029
50%,57862.0,53.0,46.0,0.4310304259926569,0.5514376246725304,0.7486942116932923
75%,62271.0,53.0,50.0,0.4469793819308449,0.616078910442003,0.7689696963285514
max,65478.0,53.0,103.0,0.4800013161826775,0.8512550808188706,0.8446159813830804
