,srcport,dstport,payload_size,shannon,bien,tbien
count,157.0,157.0,157.0,157.0,157.0,157.0
mean,15633.0,8088.0,1018.859872611465,0.3409630331811487,0.6272585531888561,0.8928553799538232
std,0.0,0.0,64.40561157653713,0.007168132529200126,0.01915496095581587,0.0038407382344750047
min,15633.0,8088.0,217.0,0.337321648822051,0.5790851653485742,0.882875502488567
25%,15633.0,8088.0,1024.0,0.3395254376828379,0.615178636132422,0.8903176153375233
50%,15633.0,8088.0,1024.0,0.3403057564098546,0.6259273676959002,0.8925342466821108
75%,15633.0,8088.0,1024.0,0.3412012875535716,0.6406867077671287,0.8955630021750781
max,15633.0,8088.0,1024.0,0.4288486442758329,0.6701324704104317,0.9031620644834704
