,srcport,dstport,payload_size,shannon,bien,tbien
count,157.0,157.0,157.0,157.0,157.0,157.0
mean,1066.0,8088.0,1018.859872611465,0.28589934351966767,0.5009640383783863,0.7494548108262054
std,0.0,0.0,64.40561157653713,0.012748509708130107,0.08720973946196223,0.1042087232510738
min,1066.0,8088.0,217.0,0.2133439856461027,0.1872620403421369,0.364402459713449
25%,1066.0,8088.0,1024.0,0.2842723093998457,0.4703735000141512,0.7071781941212045
50%,1066.0,8088.0,1024.0,0.288077117198409,0.5170928445524017,0.7728628638643767
75%,1066.0,8088.0,1024.0,0.2918028643786063,0.5595659973988824,0.817883939093314
max,1066.0,8088.0,1024.0,0.3078522651038391,0.64899850224028,0.8797150136627504
