,srcport,dstport,payload_size,shannon,bien,tbien
count,157.0,157.0,157.0,157.0,157.0,157.0
mean,25542.0,8088.0,1018.859872611465,0.3409858764368773,0.6226479784071898,0.9816909087696835
std,0.0,0.0,64.40561157653713,0.006788468341719965,0.06392617051541132,0.0012345908697631565
min,25542.0,8088.0,217.0,0.3366698914740884,0.476253573292527,0.9784146103404044
25%,25542.0,8088.0,1024.0,0.3395978291142644,0.5730423397128505,0.9809062357444062
50%,25542.0,8088.0,1024.0,0.3404829089928043,0.6172214374499997,0.981725588151296
75%,25542.0,8088.0,1024.0,0.3414196592990501,0.6679891387388108,0.9825595358940712
max,25542.0,8088.0,1024.0,0.4236585691023837,0.7676167541625439,0.984395036443426
